0 -0.57192
0.781 -0.71183
1.563 -0.92774
2.344 -1.187
3.125 -1.4133
3.906 -1.5946
4.688 -1.8128
5.469 -2.0431
6.25 -2.3021
7.031 -2.5331
7.813 -2.7432
8.594 -2.9022
9.375 -3.0003
10.156 -3.137
10.938 -3.3417
11.719 -3.5393
12.5 -3.7303
13.281 -3.8905
14.063 -4.0107
14.844 -4.1279
15.625 -4.2718
16.406 -4.4238
17.188 -4.602
17.969 -4.7903
18.75 -4.9117
19.531 -4.9865
20.313 -5.1166
21.094 -5.2692
21.875 -5.4
22.656 -5.497
23.438 -5.5139
24.219 -5.6125
25 -5.797
25.781 -5.9606
26.563 -6.0479
27.344 -6.1095
28.125 -6.2169
28.906 -6.4572
29.688 -6.67
30.469 -6.7699
31.25 -6.822
32.031 -6.8875
32.813 -6.9608
33.594 -7.0546
34.375 -7.1416
35.156 -7.2074
35.938 -7.3177
36.719 -7.4188
37.5 -7.558
38.281 -7.6696
39.063 -7.7481
39.844 -7.8634
40.625 -7.9378
41.406 -7.99
42.188 -8.0302
42.969 -8.0598
43.75 -8.1394
44.531 -8.2911
45.313 -8.4477
46.094 -8.5057
46.875 -8.4136
47.656 -8.2996
48.438 -8.2813
49.219 -8.303
50 -8.3853
50.781 -8.4854
51.563 -8.587
52.344 -8.7142
53.125 -8.8041
53.906 -8.8323
54.688 -8.9288
55.469 -9.0483
56.25 -9.1178
57.031 -9.1928
57.813 -9.3034
58.594 -9.4917
59.375 -9.6607
60.156 -9.0796
60.938 -6.5616
61.719 -2.4437
62.5 1.1338
63.281 3.0318
64.063 3.6509
64.844 3.6174
65.625 3.3136
66.406 2.9338
67.188 2.5167
67.969 2.1203
68.75 1.7372
69.531 1.2826
70.313 0.81686
71.094 0.58747
71.875 0.85521
72.656 1.4876
73.438 1.8107
74.219 1.6657
75 1.256
75.781 0.73879
76.563 0.26731
77.344 -0.13334
78.125 -0.47672
78.906 -0.78782
79.688 -1.1733
80.469 -1.5875
81.25 -1.945
82.031 -2.1722
82.813 -1.907
83.594 -1.0755
84.375 -0.32926
85.156 -0.15064
85.938 -0.3613
86.719 -0.65617
87.5 -0.94563
88.281 -1.2545
89.063 -1.5341
89.844 -1.7723
90.625 -1.9672
91.406 -2.213
92.188 -2.5088
92.969 -2.8326
93.75 -3.086
94.531 -3.301
95.313 -3.52
96.094 -3.7127
96.875 -3.7929
97.656 -3.7611
98.438 -3.9336
99.219 -4.0279
100 -3.9049
100.78 -3.6581
101.56 -3.3992
102.34 -3.2356
103.13 -3.2839
103.91 -3.4787
104.69 -3.7246
105.47 -3.9296
106.25 -3.6985
107.03 -2.0204
107.81 0.80185
108.59 2.799
109.38 3.3211
110.16 3.0468
110.94 2.6006
111.72 2.1984
112.5 1.8826
113.28 1.6153
114.06 1.3488
114.84 1.0698
115.62 0.79185
116.41 0.5268
117.19 0.25463
117.97 0.056481
118.75 0.0006724
