4.8667 -247.38
4.8833 -244.37
4.9 -243.54
4.9167 -244.26
4.9333 -244.55
4.95 -243.57
4.9667 -243.22
4.9833 -243.81
5 -244.75
5.0167 -245.7
5.0333 -246.39
5.05 -244.32
5.0667 -240.1
5.0833 -237.77
5.1 -236.56
5.1167 -236.28
5.1333 -237.26
5.15 -238.75
5.1667 -238.81
5.1833 -237.48
5.2 -236.81
5.2167 -237.53
5.2333 -238.63
5.25 -239.63
5.2667 -240.4
5.2833 -241.21
5.3 -241.88
5.3167 -242.47
5.3333 -242.97
5.35 -243.43
5.3667 -243.74
5.3833 -244.3
5.4 -244.78
5.4167 -245.11
5.4333 -245.21
5.45 -245.17
5.4667 -245.32
5.4833 -245.64
5.5 -245.99
5.5167 -246.11
5.5333 -246.21
5.55 -246.27
5.5667 -246.24
5.5833 -246.35
5.6 -246.55
5.6167 -246.91
5.6333 -247.21
5.65 -247.53
5.6667 -247.79
5.6833 -248.1
5.7 -248.4
5.7167 -248.73
5.7333 -249
5.75 -249.27
5.7667 -249.49
5.7833 -249.76
5.8 -250.04
5.8167 -250.35
5.8333 -250.57
5.85 -250.8
5.8667 -251.02
5.8833 -251.25
5.9 -251.49
5.9167 -251.56
5.9333 -251.68
5.95 -251.85
5.9667 -252.12
5.9833 -252.38
6 -252.63
6.0167 -252.87
6.0333 -253.07
6.05 -253.23
6.0667 -253.37
6.0833 -253.49
6.1 -253.58
6.1167 -253.62
6.1333 -253.68
6.15 -253.86
6.1667 -254.11
6.1833 -254.28
6.2 -254.5
6.2167 -254.69
6.2333 -254.99
6.25 -255.19
6.2667 -255.35
6.2833 -255.51
6.3 -255.7
6.3167 -255.86
6.3333 -256.01
6.35 -256.17
6.3667 -256.35
6.3833 -256.58
6.4 -256.77
6.4167 -256.94
6.4333 -257.13
6.45 -257.32
6.4667 -257.5
6.4833 -257.63
6.5 -257.74
6.5167 -257.89
6.5333 -258.05
6.55 -258.09
6.5667 -258.22
6.5833 -258.4
6.6 -258.62
6.6167 -258.88
6.6333 -258.88
6.65 -258.62
6.6667 -258.58
6.6833 -258.69
6.7 -258.94
6.7167 -259.22
6.7333 -259.39
6.75 -259.64
6.7667 -259.89
6.7833 -260.01
6.8 -260.07
6.8167 -259.83
6.8333 -259.19
6.85 -257.81
6.8667 -253.9
6.8833 -250.77
6.9 -249.89
6.9167 -250.36
6.9333 -251.16
6.95 -251.96
6.9667 -252.61
6.9833 -253.12
7 -253.6
7.0167 -254.08
7.0333 -254.48
7.05 -254.79
7.0667 -254.75
7.0833 -254.36
7.1 -253.44
7.1167 -252.96
7.1333 -253.18
7.15 -253.34
7.1667 -253.44
7.1833 -253.75
7.2 -254.02
7.2167 -253.59
